
32,84.87882,10,24.98298,121.54024,37.9
19.5,306.5947,9,24.98034,121.53951,42.2
13.3,561.9845,5,24.98746,121.54391,47.3
13.3,561.9845,5,24.98746,121.54391,54.8
5,390.5684,5,24.97937,121.54245,43.1
7.1,2175.03,3,24.96305,121.51254,32.1
34.5,623.4731,7,24.97933,121.53642,40.3
20.3,287.6025,6,24.98042,121.54228,46.7
31.7,5512.038,1,24.95095,121.48458,18.8
17.9,1783.18,3,24.96731,121.51486,22.1
34.8,405.2134,1,24.97349,121.53372,41.4
6.3,90.45606,9,24.97433,121.5431,58.1
13,492.2313,5,24.96515,121.53737,39.3
20.4,2469.645,4,24.96108,121.51046,23.8
13.2,1164.838,4,24.99156,121.53406,34.3
35.7,579.2083,2,24.9824,121.54619,50.5
0,292.9978,6,24.97744,121.54458,70.1
17.7,350.8515,1,24.97544,121.53119,37.4
16.9,368.1363,8,24.9675,121.54451,42.3
1.5,23.38284,7,24.96772,121.54102,47.7
4.5,2275.877,3,24.96314,121.51151,29.3
10.5,279.1726,7,24.97528,121.54541,51.6
14.7,1360.139,1,24.95204,121.54842,24.6
10.1,279.1726,7,24.97528,121.54541,47.9
39.6,480.6977,4,24.97353,121.53885,38.8
29.3,1487.868,2,24.97542,121.51726,27
3.1,383.8624,5,24.98085,121.54391,56.2
10.4,276.449,5,24.95593,121.53913,33.6
19.2,557.478,4,24.97419,121.53797,47
7.1,451.2438,5,24.97563,121.54694,57.1
25.9,4519.69,0,24.94826,121.49587,22.1
29.6,769.4034,7,24.98281,121.53408,25
37.9,488.5727,1,24.97349,121.53451,34.2
16.5,323.655,6,24.97841,121.54281,49.3
15.4,205.367,7,24.98419,121.54243,55.1
13.9,4079.418,0,25.01459,121.51816,27.3
14.7,1935.009,2,24.96386,121.51458,22.9
12,1360.139,1,24.95204,121.54842,25.3
3.1,577.9615,6,24.97201,121.54722,47.7
